["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+14 1.1887294612106846e-03 1.2286739555290332e-01
1.8749519977416666e+14 1.2339236428149493e-03 1.4919400568081775e-01
1.8762011329833334e+14 1.2703369327399395e-03 1.7900808275676164e-01
1.8774502682250000e+14 1.2973323591472920e-03 2.1050661254874559e-01
1.8786994034666666e+14 1.3147818437056959e-03 2.4210742247066441e-01
1.8799485387083334e+14 1.3230293322750199e-03 2.7240454955658333e-01
1.8811976739500000e+14 1.3228561420033926e-03 3.0013989674398128e-01
1.8824468091916666e+14 1.3154434256653358e-03 3.2419651621522588e-01
1.8836959444333334e+14 1.3023257057296492e-03 3.4361747852054131e-01
1.8849450796750000e+14 1.2853283052162395e-03 3.5765285936284585e-01
1.8861942149166666e+14 1.2664807373922470e-03 3.6583364501638843e-01
1.8874433501583334e+14 1.2495704512320415e-03 3.6798126239862267e-01
1.8886924854000000e+14 1.2349804099466405e-03 3.6455077107276840e-01
1.8899416206416666e+14 1.2245192245094595e-03 3.5643884612206667e-01
1.8911907558833334e+14 1.2195663986482724e-03 3.4502141774283956e-01
1.8924398911250000e+14 1.2209153056084458e-03 3.3202378009780975e-01
1.8936890263666666e+14 1.2286818428823574e-03 3.1930303933716508e-01
1.8949381616083334e+14 1.2423039137010353e-03 3.0859450929553361e-01
1.8961872968500000e+14 1.2606319691398785e-03 3.0129159970416775e-01
1.8974364320916666e+14 1.2820856861266100e-03 2.9831225774274217e-01
1.8986855673333334e+14 1.3048390379263705e-03 3.0006622882149597e-01
1.8999347025750000e+14 1.3286176087079402e-03 3.0650571699259072e-01
1.9011838378166666e+14 1.3499959714520320e-03 3.1717646209999245e-01
1.9024329730583334e+14 1.3673633606097403e-03 3.3136520214828363e-01
1.9036821083000000e+14 1.3793896592296461e-03 3.4816886829632460e-01
1.9049312435416666e+14 1.3850821493542930e-03 3.6655514973053177e-01
1.9061803787833334e+14 1.3838246828495428e-03 3.8540112153386208e-01
1.9074295140250000e+14 1.3754058582887711e-03 4.0351537568598772e-01
1.9086786492666666e+14 1.3600406949367462e-03 4.1965149241287658e-01
1.9099277845083334e+14 1.3383878639763053e-03 4.3252243250253358e-01
1.9111769197500000e+14 1.3115616345260564e-03 4.4082763663680519e-01
1.9124260549916666e+14 1.2826862049581998e-03 4.4314667096943544e-01
1.9136751902333334e+14 1.2522252781114499e-03 4.3852375839668628e-01
1.9149243254750000e+14 1.2225794410096204e-03 4.2616625712560785e-01
1.9161734607166666e+14 1.1964189789991180e-03 4.0580132955117104e-01
1.9174225959583334e+14 1.1764871698509976e-03 3.7791387147526767e-01
1.9186717312000000e+14 1.1653169984941699e-03 3.4392541389056874e-01
1.9199208664416666e+14 1.1648923074871083e-03 3.0619683611106907e-01
1.9211700016833334e+14 1.1763303420837213e-03 2.6776673068068613e-01
1.9224191369250000e+14 1.1996859957253874e-03 2.3185379379569343e-01
1.9236682721666666e+14 1.2339477094294622e-03 2.0129161667292839e-01
1.9249174074083334e+14 1.2787223579212132e-03 1.7826888306380181e-01
1.9261665426500000e+14 1.3300165820190363e-03 1.6371610499727055e-01
1.9274156778916666e+14 1.3850682779012564e-03 1.5779499425214158e-01
1.9286648131333334e+14 1.4410960847528916e-03 1.6001518305745310e-01
1.9299139483750000e+14 1.4954843476047870e-03 1.6947100471715662e-01
1.9311630836166666e+14 1.5459012109855729e-03 1.8503461203173302e-01
1.9324122188583331e+14 1.5903681028804424e-03 2.0548777237246471e-01
1.9336613541000000e+14 1.6272986812984143e-03 2.2959918942723651e-01
1.9349104893416666e+14 1.6555205318438525e-03 2.5616240169520565e-01
1.9361596245833331e+14 1.6742877631611727e-03 2.8400898492880161e-01
